quiz_id,course_id,type,title,n,time_limit_sec,version,published,visibility,publish_at,unpublish_at,notes
,,,,,,,,,,,
,,,,,,,,student,,,
,,,,,,,,,,,
GP-F-T0,GP,TIMED,Getting Started: Timed Practice Mode | 50 Questions,50,3000,1,TRUE,student,2025-08-01T23:59:59Z,,
GP-F-T1,GP,TIMED,General Paper | NMC Licenseure Exams |  Set 1 ,100,6000,1,TRUE,student,2025-08-01T23:59:59Z,,
GP-F-T2,GP,TIMED,General Paper | NMC Licenseure Exams |  Set 2,100,6000,1,TRUE,student,2025-08-01T23:59:59Z,,
GP-F-T3,GP,TIMED,General Paper | NMC Licenseure Exams |  Set 3,100,6000,1,TRUE,student,2026-08-01T23:59:59Z,,
GP-F-T4,GP,TIMED,General Paper | NMC Licenseure Exams |  Set 4,100,6000,1,TRUE,student,2026-08-01T23:59:59Z,,
GP-F-T5,GP,TIMED,General Paper | NMC Licenseure Exams |  Set 5,100,6000,1,TRUE,student,2025-08-01T23:59:59Z,2025-12-01T23:59:59Z,
,,,,,,,,,,,
GP-F-I0,GP,INSTANT,Getting Started: Instant/Self-Paced Practice Mode | 50 Questions,50,,1,TRUE,student,2025-08-01T23:59:59Z,,
GP-F-I1,GP,INSTANT,General Paper Revision | NMC Licenseure Self-Paced Practice | Set 1,100,,1,TRUE,student,2025-08-01T23:59:59Z,,
GP-F-I2,GP,INSTANT,General Paper Revision | NMC Licenseure Self-Paced Practice | Set 2,100,,1,TRUE,student,2025-08-01T23:59:59Z,,
GP-F-I3,GP,INSTANT,General Paper Revision | NMC Licenseure Self-Paced Practice | Set 3,100,,1,TRUE,student,2026-08-01T23:59:59Z,,
GP-F-I4,GP,INSTANT,General Paper Revision | NMC Licenseure Self-Paced Practice | Set 4,100,,1,TRUE,student,2026-08-01T23:59:59Z,,
GP-F-I5,GP,INSTANT,General Paper Revision | NMC Licenseure Self-Paced Practice | Set 5,100,,1,TRUE,student,2025-08-01T23:59:59Z,2025-12-01T23:59:59Z,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RN_MED-F-T1,RN_MED,TIMED,Medicine & Medical Nursing | NMC Licenseure  Exams |  Set 1 ,180,10800,1,TRUE,student,2026-01-01T00:00:00Z,,
RN_MED-F-T2,RN_MED,TIMED,Medicine & Medical Nursing | NMC Licenseure  Exams |  Set 2,180,10800,1,TRUE,student,2026-01-01T00:00:00Z,,
RN_MED-F-T3,RN_MED,TIMED,Medicine & Medical Nursing | NMC Licenseure  Exams |  Set 3,180,10800,1,TRUE,student,2026-01-01T00:00:00Z,,
RN_MED-F-T4,RN_MED,TIMED,Medicine & Medical Nursing | NMC Licenseure  Exams |  Set 4,180,10800,1,TRUE,student,2026-01-01T00:00:00Z,,
RN_MED-F-T5,RN_MED,TIMED,Medicine & Medical Nursing | NMC Licenseure  Exams |  Set 5,180,10800,1,TRUE,student,2026-01-01T00:00:00Z,,
,,,,,,,,,,,
RN_MED-F-I1,RN_MED,INSTANT,Medicine & Medical Nursing Revision | NMC Licenseure Self-Paced Practice | Set 1,180,,1,TRUE,student,2026-01-01T00:00:00Z,,
RN_MED-F-I2,RN_MED,INSTANT,Medicine & Medical Nursing Revision | NMC Licenseure Self-Paced Practice | Set 2,180,,1,TRUE,student,2026-01-01T00:00:00Z,,
RN_MED-F-I3,RN_MED,INSTANT,Medicine & Medical Nursing Revision | NMC Licenseure Self-Paced Practice | Set 3,180,,1,TRUE,student,2026-01-01T00:00:00Z,,
RN_MED-F-I4,RN_MED,INSTANT,Medicine & Medical Nursing Revision | NMC Licenseure Self-Paced Practice | Set 4,180,,1,TRUE,student,2026-01-01T00:00:00Z,,
RN_MED-F-I5,RN_MED,INSTANT,Medicine & Medical Nursing Revision | NMC Licenseure Self-Paced Practice | Set 5,180,,1,TRUE,student,2026-01-01T00:00:00Z,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RN_SURG-L-T1,RN_SURG,TIMED,Surgery & Surgical Nursing | NMC Fast Track Mock |  Set 1,180,10800,1,FALSE,hidden,2025-08-01T23:59:59Z,2025-12-31T23:59:59Z,
RN_SURG-L-T2,RN_SURG,TIMED,Surgery & Surgical Nursing | NMC Fast Track Mock |  Set 2,180,10800,1,FALSE,hidden,2025-08-01T23:59:59Z,2025-12-31T23:59:59Z,
